Year;tmax01;tmax02;tmax03;tmax04;tmax05;tmax06;tmax07;tmax08;tmax09;tmax10;tmax11;tmax12
1901;8.6;7.1;11.3;17.3;20.8;24.8;26.5;25.8;22.7;16.9;10.4;8.4
1902;9.2;9.9;14.8;17.4;17.0;22.0;26.2;25.0;22.0;16.8;12.5;8.8
1903;9.8;12.8;15.0;14.9;19.9;21.7;24.6;24.3;22.8;18.9;12.8;7.9
1904;8.9;10.8;12.3;17.1;21.0;23.7;28.0;26.3;21.7;18.5;11.4;10.1
1905;7.8;9.9;14.5;17.0;18.5;23.5;27.7;24.8;21.5;15.4;11.2;8.7
1906;10.4;9.2;12.8;15.4;19.7;24.4;25.7;27.4;24.0;18.9;12.3;7.3
1907;7.6;8.2;13.9;15.5;19.1;22.0;23.7;25.7;24.1;16.6;12.8;10.8
1908;7.9;10.3;11.5;14.4;21.5;23.1;24.6;24.5;22.1;19.5;12.8;9.1
1909;7.4;8.4;11.1;18.4;20.7;20.6;23.0;25.3;20.7;18.8;10.4;9.8
1910;9.2;11.5;13.2;15.0;17.4;22.2;22.7;23.8;21.0;18.2;11.7;10.7
1911;6.1;11.3;12.7;15.3;19.7;22.5;28.5;28.3;25.8;17.3;12.7;11.3
1912;9.7;13.2;14.8;16.4;21.1;21.8;23.8;21.4;19.6;16.9;10.9;10.6
1913;10.9;11.4;14.5;15.0;19.5;22.6;23.6;24.5;22.1;18.6;14.0;8.4
1914;6.1;12.7;13.8;18.1;18.7;22.0;23.4;25.1;22.8;17.1;11.7;10.4
1915;8.4;10.3;12.4;15.3;20.7;23.3;24.3;24.8;22.3;15.8;10.3;11.6
1916;11.2;10.6;12.3;15.8;20.1;20.2;23.8;25.2;21.4;18.0;12.8;9.3
1917;5.8;8.4;11.1;13.4;20.9;23.8;25.3;23.6;23.5;16.3;12.0;6.5
1918;8.6;11.3;13.0;14.0;20.4;22.5;24.8;25.1;22.1;15.6;11.5;11.2
1919;7.7;10.5;12.1;14.4;20.6;23.5;22.8;26.4;23.5;14.9;9.6;9.7
1920;10.3;12.9;15.0;16.4;21.0;23.0;24.1;23.2;22.0;18.3;12.0;8.5
1921;11.8;10.9;14.6;16.1;20.3;24.7;28.0;25.1;25.4;21.6;11.7;10.0
1922;9.7;11.7;13.6;14.2;23.1;23.3;24.1;24.0;20.9;16.2;11.7;9.6
1923;8.5;12.7;14.2;16.6;19.4;21.1;27.0;27.0;22.7;18.9;11.1;9.0
1924;10.1;8.3;14.3;16.4;21.2;23.4;25.0;22.9;22.7;18.7;13.4;9.9
1925;10.6;12.1;10.7;15.6;19.0;24.8;23.8;24.7;21.5;19.6;10.6;10.1
1926;10.5;15.3;14.4;17.6;18.1;21.1;25.3;27.0;26.2;19.8;14.2;7.6
1927;10.1;11.6;13.7;17.3;21.3;22.7;23.9;23.8;21.6;19.4;12.5;8.8
1928;10.8;13.7;13.8;16.1;18.2;23.5;27.8;26.7;23.9;18.5;13.8;8.6
1929;6.3;8.5;14.1;16.2;19.8;23.2;26.4;25.4;26.0;18.6;13.4;12.0
1930;11.8;9.1;14.0;15.9;18.3;23.4;23.4;25.3;23.3;19.0;14.8;10.3
1931;9.3;9.8;13.5;16.1;20.2;25.2;24.2;23.3;20.0;18.3;13.9;8.3
1932;10.5;7.7;13.1;14.6;18.4;22.1;22.9;27.2;24.0;17.6;13.4;10.9
1933;7.7;10.6;15.1;18.6;20.3;21.4;26.9;28.4;23.9;18.5;11.0;4.7
1934;8.7;9.6;12.6;16.9;21.2;24.8;27.6;24.4;24.5;18.9;10.5;13.1
