Year.GHD;Bor;Bur;Cha2;LLV;Spa;Swi
1354;NA;13.09;NA;NA;NA;NA
1355;NA;11.47;NA;NA;NA;NA
1356;NA;NA;NA;NA;NA;NA
1357;NA;16.09;NA;NA;NA;NA
1358;NA;NA;NA;NA;NA;NA
1359;NA;NA;NA;NA;NA;NA
1360;NA;NA;NA;NA;NA;NA
1361;NA;NA;NA;NA;NA;NA
1362;NA;NA;NA;NA;NA;NA
1363;NA;NA;NA;NA;NA;NA
1364;NA;NA;NA;NA;NA;NA
1365;NA;NA;NA;NA;NA;NA
1366;NA;NA;NA;NA;NA;NA
1367;NA;NA;NA;NA;NA;NA
1368;NA;NA;NA;NA;NA;NA
1369;NA;NA;NA;NA;NA;NA
1370;NA;NA;NA;NA;NA;NA
1371;NA;17.00;NA;NA;NA;NA
1372;NA;23.99;NA;NA;NA;NA
1373;NA;15.88;NA;NA;NA;NA
1374;NA;24.99;NA;NA;NA;NA
1375;NA;16.99;NA;NA;NA;NA
1376;NA;19.89;NA;NA;NA;NA
1377;NA;NA;NA;NA;NA;NA
1378;NA;21.09;NA;NA;NA;NA
1379;NA;21.54;NA;NA;NA;NA
1380;NA;18.37;NA;NA;NA;NA
1381;NA;19.28;NA;NA;NA;NA
1382;NA;11.48;NA;NA;NA;NA
1383;NA;2.49;NA;NA;NA;NA
1384;NA;3.79;NA;NA;NA;NA
1385;NA;6.96;NA;NA;NA;NA
1386;NA;16.09;NA;NA;NA;NA
1387;NA;18.09;NA;NA;NA;NA
1388;NA;22.89;NA;NA;NA;NA
1389;NA;21.49;NA;NA;NA;NA
1390;NA;13.37;NA;NA;NA;NA
1391;NA;13.87;NA;NA;NA;NA
1392;NA;35.97;NA;NA;NA;NA
1393;NA;-0.91;NA;NA;NA;NA
1394;NA;27.50;NA;NA;NA;NA
1395;NA;23.75;NA;NA;NA;NA
1396;NA;13.25;NA;NA;NA;NA
1397;NA;8.25;NA;NA;NA;NA
1398;NA;20.25;NA;NA;NA;NA
1399;NA;26.25;NA;NA;NA;NA
1400;NA;8.86;NA;NA;NA;NA
1401;NA;15.48;NA;NA;NA;NA
1402;NA;11.09;NA;NA;NA;NA
1403;NA;15.18;NA;NA;NA;NA
